wt (lbs),1,2,3,4,5,6,7,8,9
1,6.99,7.22,7.53,7.75,7.87,8.09,8.61,9.03,9.03
2,7.13,7.50,7.64,7.95,8.22,9.58,10.21,10.85,10.85
3,7.19,7.56,7.74,8.14,8.80,11.19,11.63,12.25,12.25
4,7.29,7.66,7.98,8.65,10.11,11.70,12.54,13.17,13.17
5,7.40,7.78,8.14,8.91,10.31,12.46,13.19,13.98,13.98
6,7.58,7.89,8.50,9.40,12.27,12.77,13.55,14.32,14.32
7,8.02,8.34,9.27,9.84,12.65,13.09,14.02,15.03,15.03
8,8.16,8.49,9.84,11.20,12.97,13.58,14.50,15.62,15.62
9,8.90,9.26,10.28,11.77,13.17,13.96,15.20,16.57,16.57
10,9.35,9.72,10.80,11.94,13.59,14.38,16.22,17.83,17.83
11,11.02,11.53,11.79,12.97,14.05,15.06,17.86,19.27,19.27
12,11.55,11.95,12.39,13.21,14.33,15.70,18.66,20.26,20.26
13,11.86,12.23,12.81,13.55,14.82,16.26,20.05,21.69,21.69
14,12.24,12.54,13.10,13.62,15.08,17.29,21.41,23.21,23.21
15,12.43,12.62,13.58,14.06,15.85,18.33,22.19,24.75,24.75
16,12.74,12.88,13.91,14.20,16.03,19.01,23.19,25.50,25.50
17,13.04,13.90,14.41,14.64,16.74,19.91,24.68,26.34,26.34
18,13.11,13.97,14.52,14.80,17.46,20.84,25.25,27.97,27.97
19,13.46,14.34,15.22,15.45,18.65,21.52,26.19,29.17,29.17
20,13.69,14.59,15.54,15.85,19.16,22.33,27.23,30.58,30.58
